title,ingredients,directions,NER,Country,Distance,garlic,salt,coconut milk,onion,fish sauce,water,red curry,ginger,vegetable oil,tomatoes,curry powder,chicken,lime,oil,sugar,curry,cilantro,brown sugar,turmeric,fresh ginger,onions,lime juice,Salt,fresh cilantro,basil,garam masala,ground coriander,cumin,ground cumin,Curry,soy sauce,shallots,rice,shrimp,olive oil,potatoes,red bell pepper,green curry,ground turmeric,chicken breasts,chicken broth,cinnamon,chili powder,carrots,canola oil,peanut oil,cumin seeds,butter,peanuts,red pepper,light coconut milk,green beans,Onion,coriander,cayenne pepper,turmeric powder,carrot,flour,Water,paprika,coriander seeds,Garlic,cloves,Ginger,jasmine rice,fresh basil,lemon juice,chicken stock,coriander powder,green onions,green chilies,Chicken,Coconut Milk,Turmeric,tomato paste,pepper,milk,kosher salt,zucchini,red onion,gingerroot,unsweetened coconut milk,Cumin,bamboo shoots,cornstarch,black pepper,coconut,clove garlic,fresh coriander,tomato,bay leaves,yellow onion,coconut cream,stalk lemongrass,ghee,palm sugar,Cilantro,mushrooms,beef,clove Garlic,Sugar,shallot,scallions,Onions,lime leaves,red chili powder,cumin powder,egg,red chilies,ground ginger,mustard seeds,cooking oil,green bell pepper,Kosher salt,ground black pepper,peanut butter,Fish Sauce,yogurt,eggs,cauliflower,frozen peas,pineapple,basmati rice,Garam masala,Vegetable oil,coriander seed,vegetable stock,broccoli,lemon grass,fenugreek seeds,ground cinnamon,plain yogurt,eggplant,Red Curry,chicken breast,vegetable broth,sesame oil,bay leaf,coconut oil,tomato puree,Tomatoes,potato,Garam Masala,stalks lemongrass,mint,chicken thighs,Olive Oil,galangal,lime zest,celery,black peppercorns,Oil,Carrot,skinless,cardamom pods,peas,chickpeas,shrimp paste,light brown sugar,Basil,ground beef,lamb,ginger paste,black mustard seeds,eggplants,white rice,tamarind paste,fennel seeds,green onion,coriander leaves,lemon,Cinnamon,honey,Potatoes,snow peas,Milk,Butter,cucumber,fresh coriander leaves,baby corn,rice noodles,mussels,ginger-garlic,pumpkin,unsalted butter,red onions,curry paste,chilies,fresh lemongrass,raisins,white sugar,white onion,cashews,sweet potato,Tomato,shiitake mushrooms,tomato sauce,nutmeg,vinegar,red chili pepper
Malai Kofta Curry,"[""1/4 cup raisins"", ""oil, to deep fry"", ""1 teaspoon coriander powder"", ""1 teaspoon turmeric powder"", ""salt"", ""1/2 cup tomato puree"", ""1 teaspoon red chili powder"", ""1/2 cup mawa (khoya)"", ""1/2 cup fresh cream"", ""1 teaspoon garam masala powder"", ""gravy"", ""3 medium sized onions"", ""3 tablespoons oil"", ""1 tablespoon ginger paste"", ""1 tablespoon garlic paste"", ""2 green chilies"", ""4 -5 medium sized potatoes"", ""100 g cottage cheese (paneer)"", ""2 green chilies"", ""1/4 cup cornflour"", ""salt""]","[""Boil the potatoes, cool, peel and grate them. Grate paneer."", ""Wash all green chillies, deseed and chop them fine."", ""Peel onions, cut them into halves and boil with a cup of water for ten minutes."", ""Drain excess water, cool onions and grind them into a smooth paste."", ""Mix mashed potatoes, paneer, two chopped green chillies, cornflour and salt."", ""Mix well. Divide into sixteen equal sized balls. Stuff raisins into them."", ""Deep fry in hot oil until slightly coloured. Drain and keep aside."", ""Heat oil in a kadai. Add boiled onion paste and cook for five minutes."", ""Add ginger paste, garlic paste, chopped green chillies, coriander powder, turmeric powder and salt."", ""Cook for a minute. Add tomato puree and red chilli powder and cook on medium flame for eight to ten minutes or till oil separates from the masala."", ""Mix mawa in two cups of water and add to the gravy."", ""Bring it to a boil and simmer for ten minutes on a slow flame."", ""Stir occasionally."", ""Stir in fresh cram and garam masala powder."", ""Place warm koftas in a serving dish and pour hot gravy on top and serve.""]","[""raisins"", ""oil"", ""coriander powder"", ""turmeric powder"", ""salt"", ""tomato puree"", ""red chili powder"", ""mawa"", ""fresh cream"", ""garam masala"", ""gravy"", ""onions"", ""oil"", ""ginger paste"", ""garlic"", ""green chilies"", ""potatoes"", ""cottage cheese"", ""green chilies"", ""cornflour"", ""salt""]",Bangladesh,1447,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Bangladeshi Lamb Curry,"[""1/4 cup ghee"", ""2 None large onions, thinly sliced"", ""4 None bay leaves"", ""1 None cinnamon stick"", ""5 None green cardamom pods, bruised"", ""5 None whole cloves"", ""3 cloves garlic, minced"", ""1 inch fresh ginger, peeled, grated"", ""1 1/2 lb boneless lamb leg, trimmed, cubed"", ""2 tsp sugar"", ""1 tsp cayenne pepper"", ""2 cups thick plain yogurt"", ""7 oz green beans, trimmed, halved"", ""None None rice, to serve"", ""None None sliced almonds, to serve"", ""None None sliced chili, to serve""]","[""Heat ghee in a large, heavy-bottomed frying pan over high heat. Cook onions and spices for 8-10 mins, stirring, until golden brown. Add garlic and ginger. Cook for 1 min, until fragrant. Add lamb and cook for 4-5 mins, to brown all over. Add sugar and cayenne. Stir in yogurt, 1 tbsp at a time, stirring between each addition. Season. Bring to a boil then reduce heat to low and simmer, covered, for 1 hour, or until lamb is tender."", ""Add beans and simmer for 2 mins. Serve over rice, topped with sliced almonds and sliced red chili.""]","[""ghee"", ""onions"", ""bay leaves"", ""cinnamon stick"", ""green cardamom pods"", ""cloves"", ""garlic"", ""ginger"", ""lamb"", ""sugar"", ""cayenne pepper"", ""yogurt"", ""green beans"", ""rice"", ""almonds"", ""chili""]",Bangladesh,1447,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malai Curry ,"[""1 head diced tomato"", ""1 head diced red onion"", ""1 piece turmeric root"", ""1 tablespoon parampara masala"", ""4 cloves garlic"", ""2 strips cinnamon"", ""4 cloves cloves"", ""2 tablespoons olive oil"", ""1/4 cup water"", ""variable pieces protein"", ""1 handful almonds""]","[""blend tomato, onion, garlic, turmeric, masala, almonds, and water"", ""heat olive oil on sauce pan, then add cinnamon and cloves"", ""pour blended mixture"", ""stir until homogenized and \""lack of onion smell\"""", ""add protein""]","[""tomato"", ""red onion"", ""turmeric root"", ""masala"", ""garlic"", ""cinnamon"", ""cloves"", ""olive oil"", ""water"", ""variable pieces"", ""handful almonds""]",Bangladesh,1447,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slow Cooker Red Curry Daal ,"[""3 cups Brown Lentils"", ""1 White or Yellow Onion Chopped"", ""1 White or Yellow Onion Chopped and Caramelized"", ""1 bunch Large Bunch of Spinach (Stems Removed)"", ""1 1/2 tablespoon Grated Fresh Garlic"", ""1 tablespoon Grated Fresh Ginger"", ""15 ounces 1 Can Diced Tomatoes"", ""4 tablespoons Red Curry Paste"", ""12 ounces 1 Can Coconut Milk"", ""2 tablespoons Maple Syrup or Honey"", ""2 tablespoons Garam Masala"", ""1 tablespoon Dried Coriander"", ""1 tablespoon Dried Tumeric"", ""1 tablespoon Curry Powder"", ""1 teaspoon Cayenne Pepper"", ""1 Zest of One Lemon"", ""1 teaspoon -Optional- Hing (Asafoetida)"", ""4 tablespoon -Optional- Unsalted Butter (Half Stick)"", ""6 cups Chicken or Veggie Stock"", ""2 Chopped Fresh Ripe Tomatoes"", ""1 bunch Chopped Ciltantro for Garnish"", ""1 bunch Plain Yogurt (Unsweetened) (Not Greek)"", ""1 dash Soy Sauce"", ""1 cup Fine Diced Red Onion for Garnish""]","[""Onions: Chop one onion and add to the slow cooker. Slice the other onion and add to pan with olive oil and salt on low-medium heat until deep brown and caramelized. Add to the slow cooker."", ""Lentils: While onions are cooking, rinse the lentils under cold water and add to slow cooker."", ""Wet Ingredients: With the exception of the coconut milk - add the ginger, garlic, stock, curry paste, tomato, honey and soy sauce to the slow cooker."", ""Dry Ingredients: With two healthy tablespoons of salt, add all the spices (and the hing if you are using) to the slow cooker and stir all ingredients to combine."", ""Cook on low for 8 hours or high for five hours or until the lentils are done, stirring occasionally Add more stock if needed. When finished, they should be soft but keep their shape. NO MUSH!"", ""Add the Spinach, Coconut Milk, Lemon Zest and butter if you are using. Stir to combine until spinach is wilted."", ""Check for seasoning! Add salt, sugar, pepper, as needed.""]","[""Brown Lentils"", ""White"", ""White"", ""Garlic"", ""Fresh Ginger"", ""Tomatoes"", ""Red Curry"", ""Coconut Milk"", ""Maple Syrup"", ""Garam Masala"", ""Dried Coriander"", ""Tumeric"", ""Curry"", ""Cayenne Pepper"", ""Lemon"", ""-Optional-"", ""-Optional- Unsalted Butter"", ""Chicken"", ""Fresh Ripe Tomatoes"", ""Ciltantro"", ""Yogurt"", ""Soy Sauce"", ""Red Onion""]",Bangladesh,1447,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bengali-Style Fish In Yogurt Curry ,"[""1/2 teaspoon ground turmeric"", ""1/2 teaspoon freshly ground black pepper"", ""1/2 teaspoon cayenne pepper"", ""1/2 teaspoon caraway seeds"", ""1 pound tilapia fillets, cut into 1- to 2-inch pieces"", ""1 cup plain, lowfat yogurt"", ""1 tablespoon all-purpose flour"", ""5 tablespoons vegetable oil"", ""1 tablespoon black mustard seeds"", ""1 medium red onion, finely chopped"", ""1 tablespoon finely chopped garlic"", ""1 tablespoon curry powder"", ""1 1/4 cups heavy cream"", ""Salt"", ""2 tablespoons finely chopped fresh cilantro, for garnish""]","[""1. Mix together the turmeric, black pepper, cayenne pepper, and caraway seeds. Add the tilapia pieces and toss to coat. Cover and let sit for 30 minutes in the refrigerator."", ""2. In a blender, combine the yogurt and flour and set aside. Heat 3 tablespoons of the oil in a medium skillet over medium-high heat. Add the mustard seeds and cook, stirring, until sputtering and fragrant, about 1 minute. Add the onion and cook, stirring, until translucent, about 3 minutes. Add the garlic and curry powder and cook for another 2 minutes. Add the cream and the yogurt mixture and bring to a simmer. Reduce the heat to low and simmer until the sauce is thick, about 5 minutes."", ""3. In a nonstick pan, heat the remaining 2 tablespoons oil over medium heat. Gently fry the seasoned fish until crisp on both sides, about 3 minutes per side. Add the yogurt mixture to the fried fish and simmer until fish is cooked through, about 5 minutes."", ""4. Season with salt and serve hot, garnished with fresh cilantro.""]","[""ground turmeric"", ""freshly ground black pepper"", ""cayenne pepper"", ""caraway seeds"", ""tilapia"", ""yogurt"", ""flour"", ""vegetable oil"", ""black mustard seeds"", ""red onion"", ""garlic"", ""curry powder"", ""heavy cream"", ""Salt"", ""fresh cilantro""]",Bangladesh,1447,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bengali Prawn Malaicurry ,"[""prawn, 500gm"", ""coconut milk 3/4 cup"", ""mustard seeds (paste of 30 gms)"", ""1 large onion"", ""salt"", ""coriander optional garnish"", ""chillies- depending on how much spicy you want"", ""mustard oil""]","[""Mix mustard paste, chilly,mustard oil and salt. this is the marinade for the prawns."", """", ""Later fry the onion, saute till brown and add prawn. then add coconut milk or if you want to make it less fatty, you can add more dried coconut and less of coconut milk. reduce. eat""]","[""prawn"", ""coconut milk"", ""onion"", ""salt"", ""coriander"", ""depending"", ""oil""]",Bangladesh,1447,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wednesday Bengali Chicken Curry (Instant Pot),"[""2 pounds boneless skinless chicken thighs, cut into smaller pieces"", ""1 teaspoon turmeric"", ""1 teaspoon teaspoon red cayenne powder"", ""2 teaspoons salt or to taste"", ""3 tablespoons canolla or grapeseed oil"", ""1 large onion, finely diced"", ""1 tablespoon freshly grated ginger"", ""2 cloves garlic, minced"", ""2 dried bay leaves"", ""1/2 tablespoon cumin seeds"", ""2 tomatoes, diced (or 1/2 cup canned)"", ""1 teaspoon sugar"", ""2 green Serrano chilies, minced (optional)"", ""1/2 cup frozen green peas"", ""2 tablespoons chopped cilantro""]","[""Place the chicken in a non-reactive mixing bowl and sprinkle with the cayenne, turmeric and salt and set aside. Turn the instant pot onto saute mode and add in the oil and add the onions and saute well for about 5 minutes. Do this stirring frequently allowing the onion to soften and then turn gently golden."", ""Add in the ginger and the garlic and continue stirring for another minute or so and add in the chicken."", ""Add in the bay leaves, cinnamon and start stirring and browning the chicken for another 3 minutes."", ""While the chicken is cooking, place the coriander seeds, cumin seeds and the dried red chili in a spice grinder and grind until smooth."", ""Add to the chicken and mix well. Add in the tomatoes and the sugar and 1/2 cup water with the potatoes and chopped green chilies if using."", ""Cover and set on 4 minutes of pressure and release the steam after 10 minutes. Add in the green peas and mix well. Sprinkle with coriander leaves and serve with rice.""]","[""chicken thighs"", ""turmeric"", ""red cayenne"", ""salt"", ""grapeseed oil"", ""onion"", ""ginger"", ""garlic"", ""bay leaves"", ""cumin seeds"", ""tomatoes"", ""sugar"", ""green Serrano chilies"", ""frozen green peas"", ""cilantro""]",Bangladesh,1447,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bengali Shrimp Curry,"[""1 cup Shrimp, peeled and deveined"", ""1 tablespoon Canola oil"", ""1/2 cup White onion, finely chopped"", ""1 tablespoon Garlic, finely minced"", ""1 Jalapeno, finely chopped"", ""1/4 teaspoon Turmeric powder"", ""1 cup Coconut milk"", ""1/2 teaspoon Kosher salt"", ""1/4 teaspoon Garam masala"", ""1/4 teaspoon Roasted cumin powder""]","[""Heat oil in a saucepan. Add onions, garlic, and jalapeno. Saute for 2 minutes."", ""Add turmeric, coconut milk, and salt and bring to a simmer. Let sauce simmer on a medium flame for 2 minutes."", ""Add shrimp and bring sauce to a simmer for 5 minutes or until shrimp are cooked. Do not overlook as shrimp will turn rubbery."", ""Finish with a sprinkle of garam masala and roasted cumin powder. Serve with plain white rice or papad.""]","[""Shrimp"", ""Canola oil"", ""White onion"", ""Garlic"", ""Turmeric"", ""Coconut milk"", ""Kosher salt"", ""Garam masala"", ""cumin powder""]",Bangladesh,1447,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chana Dal (Lentil Curry) Bengali Style,"[""1 cup chana dal or yellow split peas"", ""1 teaspoon Turmeric powder"", ""1 whole cinnamon stick"", ""2.5 cups cold water"", ""1 teaspoon Cumin Seeds"", ""2 Bay leaves"", ""2 tablespoons Raisins"", ""2 tablespoons Cooking oil"", ""1 Green chili (optional)"", ""1 teaspoon Salt"", ""1 handful Cilantro chopped"", ""1 tablespoon Butter""]","[""If you are using the chana dal, soak it in cold water for about 2 to 3 hours before cooking. This will decrease the cooking time. If you are using split peas, this is not necessary."", ""Wash the dal with a couple of rinses in cold water and drain. In a medium sized pan put the dal, turmeric, and cinnamon stick. Stir to coat the dal with the turmeric. Add water."", ""Heat the pan on high heat on cooker top. When the water starts to boil turn the heat down to simmer. Continue simmering for about 45 minutes after boiling-until the point when edges of some of the dal will have just started to break apart and the mixture looks thicker. (Split peas will take about 30 minutes) They should be soft but not turned to mush. Remove the pan from the heat and add salt. Most of the water will have been absorbed and the level of the water should just skim above the surface of the dal. Add water if more than this amount of water has been absorbed."", ""Put the cooking oil in a medium frying pan and heat it on medium high on the stove top."", ""When the oil starts to shimmer add bay leaves, raisins, green chili, and cumin seeds."", ""After about 20 seconds add the boiled dal mixture to the frying pan. (Careful, it might splutter!) Once it comes to a boil, transfer the mixture to the original pan and add the butter and finely chopped coriander leaves. You can remove the cinnamon stick and bay leaves if you would like-in India we just leave them in and pick them out when eating!"", ""Serve on a bed of warm boiled rice or with flat breads. The dal may be stored overnight in a refrigerator for serving the following day. Just heat up with some additional water.""]","[""chana dal"", ""Turmeric"", ""cinnamon stick"", ""cold water"", ""Cumin Seeds"", ""Bay leaves"", ""Raisins"", ""Cooking oil"", ""Green chili"", ""Salt"", ""handful Cilantro"", ""Butter""]",Bangladesh,1447,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bengali Coconut Fish Curry With Cauliflower And Pumpkin,"[""11/2 pound halibut fillets"", ""1.5 teaspoons turmeric"", ""1.5 teaspoons salt or to taste"", ""3 tablespoons coconut or olive oil"", ""1.5 teaspoons nigella seeds"", ""1 medium red onion, finely diced"", ""1 tablespoon freshly grated ginger"", ""1/2 pound winter squash such as a kabocha, peeled and cubed"", ""1 pound cauliflower, cut into medium sized florrettes"", ""2 green serrano chillies, minced"", ""1.5 cups water"", ""1 tablespoon chopped cilantro"", ""1 tablespoon lime juice, optional""]","[""Place the fish in a mixing bowl, toss with half the turmeric and salt and set aside as you continue with the rest of the prep."", ""Heat the oil and add in the nigella seeds and wait until the seeds begin to crackle. This will take about 30 seconds."", ""Add in the remaining turmeric and quickly add in the onion with the remaining salt and saute the onion for about 5 minutes, until the onion is soft and translucent."", ""Add in the squash and the cauliflower and mix well. Cover and cook on very low heat until the vegetables are almost cooked."", ""Add in the tomatoes and mix well, continue cooking until the tomatoes soften."", ""Add in the chilies, coconut milk and water and bring to a simmer. Add in the fish and cook for another 8 to 10 minutes until the vegetables are soft and the fish is cooked through."", ""Garnish with cilantro and sprinkle with lime juice if using.""]","[""turmeric"", ""salt"", ""coconut"", ""nigella seeds"", ""red onion"", ""ginger"", ""winter"", ""cauliflower"", ""green serrano chillies"", ""water"", ""cilantro"", ""lime juice""]",Bangladesh,1447,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moong Daal With Curry Leaf, Red Chile, And Tempered Garlic","[""100 grams moong daal (without husk), soaked for 10 minutes before cooking"", ""1/2 teaspoon turmeric"", ""1 piece cinnamon stick"", ""1/2 teaspoon red chile powder"", ""Salt, to taste"", ""2 tablespoons ghee or butter (mixed with 1 tbsp oil)"", ""1 teaspoon cumin seeds"", ""1 clove garlic, sliced finely"", ""2 dried red chilli"", ""5 fresh curry leaves"", ""2 teaspoons chopped cilantro"", ""1 inch ginger, julienned"", ""1/2 teaspoon garam masala, to serve""]","[""Drain the moong lentil and add to a saucepan. Cover with water and add turmeric, cinnamon stick, and red chile powder and allow to come to the boil."", ""When it reaches a boil, turn low, skim any froth, and allow to cook for 10 to 15 minutes, until the lentils are soft and cooked through. If the lentils dry up, add a little water as they cook. The end result should be the consistency of thick soup."", ""When cooked, place in a serving bowl and prepare the tempering. In a small frying pan, heat the ghee."", ""Add the cumin seeds allow to splutter, add the sliced garlic, and when it turns slightly brown, add the red chile and curry leaves. Only let these splutter for a couple of seconds and do not let the garlic brown too much or else the ghee might taste quite acrid"", ""Immediately pour this over the cooked lentils and garnish with cilantro leaves and ginger and sprinkle a little garam masala on top.""]","[""moong daal"", ""turmeric"", ""cinnamon"", ""red chile powder"", ""Salt"", ""ghee"", ""cumin seeds"", ""clove garlic"", ""red chilli"", ""curry"", ""cilantro"", ""ginger"", ""garam masala""]",Bangladesh,1447,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
