title,NER,Protein,Protein Group
Shrimp Curry,"[""butter"", ""onion"", ""celery"", ""green pepper"", ""flour"", ""curry powder"", ""instant chicken"", ""water"", ""milk"", ""shrimp""]",Chicken,Meat
India Chicken Curry,"[""onion"", ""celery"", ""butter"", ""flour"", ""chicken stock"", ""tomato juice"", ""Worcestershire sauce"", ""curry"", ""chicken"", ""rice"", ""salt""]",Chicken,Meat
Chicken Curry,"[""chicken"", ""onion"", ""oil"", ""flour"", ""curry powder"", ""chicken broth"", ""tomatoes"", ""green mango"", ""salt""]",Chicken,Meat
Curry In A Hurry,"[""apple"", ""onion"", ""curry powder"", ""butter"", ""cream of chicken soup"", ""water"", ""chicken"", ""rice"", ""coconut""]",Chicken,Meat
Chicken Panang Curry,"[""coconut milk"", ""Panang"", ""boneless chicken"", ""seasoning sauce"", ""lemon juice"", ""tomato"", ""yellow bell pepper"", ""scallions"", ""mushrooms"", ""garlic chili pepper sauce""]",Chicken,Meat
Chicken Curry,"[""chicken pieces"", ""onion"", ""celery"", ""garlic"", ""curry powder"", ""bay leaf"", ""cubed apples"", ""banana"", ""chicken broth"", ""heavy cream""]",Chicken,Meat
Creamy Shrimp Curry,"[""water"", ""salt"", ""shrimp"", ""onion"", ""butter"", ""all-purpose"", ""curry powder"", ""chicken broth"", ""milk"", ""salt"", ""sugar"", ""ground ginger"", ""lemon juice"", ""rice""]",Chicken,Meat
Chicken Curry,"[""chicken"", ""celery"", ""rice"", ""salt"", ""curry powder"", ""liquid""]",Chicken,Meat
Chicken Curry,"[""green pepper"", ""celery"", ""onion"", ""lemon juice"", ""chicken"", ""butter"", ""clove garlic"", ""rice""]",Chicken,Meat
Curry Chicken,"[""chicken"", ""curry powder"", ""onion"", ""green pepper"", ""carrots"", ""potatoes"", ""water"", ""Pet milk"", ""salt""]",Chicken,Meat
Kurma(Quick Chicken Curry From South Africa)  ,"[""fryer chicken"", ""vegetable oil"", ""onion"", ""curry powder"", ""garlic"", ""sugar"", ""salt"", ""cayenne pepper"", ""water""]",Chicken,Meat
Chicken Curry,"[""chicken"", ""onion"", ""garlic"", ""ground turmeric"", ""ground cumin"", ""curry powder"", ""oil"", ""salt"", ""potatoes""]",Chicken,Meat
Chicken Curry,"[""onion"", ""celery"", ""cooking oil"", ""flour"", ""chicken broth"", ""tomato juice"", ""Worcestershire sauce"", ""curry powder"", ""chicken"", ""hot cooked rice"", ""salt""]",Chicken,Meat
Nenek'S Curry,"[""onions"", ""garlic"", ""curry powder"", ""curry powder"", ""potatoes"", ""chicken seasoning"", ""coconut cream"", ""lemon""]",Chicken,Meat
Tomato Chicken Curry,"[""olive oil"", ""onions"", ""garlic"", ""ground coriander"", ""cumin"", ""ginger"", ""cloves"", ""turmeric"", ""cayenne"", ""yogurt"", ""tomatoes"", ""chicken""]",Chicken,Meat
Chicken Curry,"[""chicken"", ""onion"", ""tomatoes"", ""apple"", ""orange"", ""green pepper"", ""currants"", ""sugar"", ""brown vinegar"", ""cloves"", ""bay leaves"", ""curry powder""]",Chicken,Meat
Polynesian Shrimp Curry,"[""milk"", ""flaked coconut"", ""shrimp"", ""pineapple"", ""butter"", ""curry powder"", ""green onions"", ""celery"", ""all-purpose"", ""garlic salt"", ""chicken broth"", ""rice""]",Chicken,Meat
Curry Chicken,"[""chickens"", ""mushrooms"", ""bay leaf"", ""salt"", ""pepper"", ""rice"", ""garlic"", ""curry powder"", ""cayenne"", ""boiling chicken broth""]",Chicken,Meat
Indian Chicken Curry,"[""red apples"", ""lemon juice"", ""chicken breasts"", ""celery"", ""onion"", ""green bell peppers"", ""clove garlic"", ""flour"", ""curry powder"", ""salt"", ""ginger"", ""chicken broth"", ""tomatoes"", ""raisins"", ""water"", ""rice""]",Chicken,Meat
Chicken Curry,"[""onions"", ""butter"", ""cream of mushroom soup"", ""milk"", ""sour cream"", ""curry powder"", ""chicken"", ""rice"", ""golden raisins"", ""scallions"", ""almonds"", ""chutney""]",Chicken,Meat
Chicken Curry,"[""cream of mushroom soup"", ""mayonnaise"", ""lemon juice"", ""curry powder"", ""red pepper"", ""chicken breasts"", ""broccoli"", ""Cheddar cheese""]",Chicken,Meat
Chicken Curry,"[""butter"", ""onions"", ""flour"", ""salt"", ""chicken"", ""chicken stock"", ""milk"", ""lemon juice"", ""curry powder""]",Chicken,Meat
Chicken Curry,"[""chicken"", ""curry powder"", ""coconut milk"", ""oil"", ""coconut milk"", ""onion"", ""salt""]",Chicken,Meat
Curry,"[""long carrots"", ""potatoes"", ""chicken"", ""curry"", ""water"", ""hot sauce""]",Chicken,Meat
Meat Curry,"[""butter"", ""garlic"", ""apple"", ""dry mustard"", ""chicken broth"", ""milk"", ""chutney"", ""onion"", ""celery"", ""flour"", ""curry powder"", ""bay leaf"", ""meat""]",Chicken,Meat
Chicken Curry,"[""onion"", ""apple"", ""oleo"", ""mushrooms"", ""water chestnuts"", ""flour"", ""curry powder"", ""sugar"", ""ground ginger"", ""salt"", ""chicken broth"", ""milk""]",Chicken,Meat
Shrimp With Curry,"[""shrimp"", ""cream of chicken soup"", ""onion"", ""curry powder"", ""cayenne pepper""]",Chicken,Meat
Indian Shrimp Curry,"[""onion"", ""butter"", ""flour"", ""curry powder"", ""salt"", ""sugar"", ""powdered ginger"", ""chicken"", ""boiling water"", ""milk"", ""shrimp"", ""lemon juice"", ""white rice""]",Chicken,Meat
Curry Rice,"[""chicken"", ""baby carrots"", ""potatoes"", ""onion"", ""garlic powder"", ""curry powder"", ""salt""]",Chicken,Meat
Chicken Curry,"[""chicken"", ""butter"", ""onions"", ""curry powder"", ""salt"", ""sherry wine"", ""rice""]",Chicken,Meat
Chicken Curry,"[""sour cream"", ""curry powder"", ""salt"", ""coriander"", ""ginger"", ""garlic"", ""ground pepper"", ""lemon juice"", ""chicken"", ""shortening"", ""bay leaves"", ""onion"", ""tomato"", ""mushrooms""]",Chicken,Meat
Chicken Curry,"[""bacon"", ""celery"", ""onion"", ""garlic salt"", ""flour"", ""milk"", ""chicken broth"", ""applesauce"", ""ketchup"", ""curry powder"", ""chicken breasts"", ""rice""]",Chicken,Meat
Sri Lankan Chicken Curry,"[""chicken"", ""flour"", ""butter"", ""onion"", ""green onions"", ""garlic"", ""lemon juice"", ""curry powder"", ""red pepper"", ""ground ginger"", ""coconut milk"", ""salt"", ""pepper"", ""chicken broth""]",Chicken,Meat
Chicken Curry,"[""butter"", ""chicken"", ""cream of chicken soup"", ""mayonnaise"", ""curry powder"", ""crackers"", ""cheddar cheese""]",Chicken,Meat
Sandy'S Chicken Curry,"[""chicken"", ""chicken"", ""ginger"", ""salt"", ""olive oil"", ""onions"", ""garlic"", ""peanut butter"", ""curry powder"", ""milk"", ""flour"", ""lemon juice"", ""ground cardamon"", ""ground cloves"", ""cinnamon""]",Chicken,Meat
Chicken Curry,"[""chicken"", ""eggs"", ""celery"", ""raisins"", ""cream of chicken soup"", ""mayonnaise"", ""lemon juice"", ""curry powder"", ""pepper"", ""flaked coconut"", ""walnuts""]",Chicken,Meat
Honey Curry Chicken,"[""margarine"", ""Dijon mustard"", ""honey"", ""curry powder"", ""chicken""]",Chicken,Meat
Chicken Curry,"[""stewing chicken"", ""white rice"", ""butter"", ""curry powder"", ""salt"", ""allspice"", ""ginger"", ""mace"", ""flour"", ""chicken broth"", ""heavy cream"", ""applesauce""]",Chicken,Meat
"Burmese Red Curry(A Simple Yet Popular Burmese Dish, Known As See-Piyan)  ","[""chicken"", ""onions"", ""garlic"", ""salt"", ""cayenne pepper"", ""turmeric"", ""monosodium glutamate"", ""tomato paste"", ""lemon juice"", ""cooking oil"", ""water""]",Chicken,Meat
Dahi Murgh - Chicken And Yogurt Curry(Origin: India And Pakistan)  ,"[""chicken"", ""onion"", ""garlic"", ""fresh ginger"", ""fresh coriander"", ""ghee"", ""ground turmeric"", ""garam masala"", ""salt"", ""chili powder"", ""yogurt"", ""tomatoes"", ""mint""]",Chicken,Meat
Chicken Curry,"[""chicken"", ""onions"", ""sweet coconut"", ""milk"", ""coconut milk"", ""onions"", ""clove garlic"", ""butter"", ""curry powder"", ""ground ginger"", ""flour"", ""cayenne pepper"", ""chicken stock"", ""salt""]",Chicken,Meat
Rowena'S Curry Chicken,"[""flour"", ""salad oil"", ""garlic"", ""onions"", ""blanched almonds"", ""rice"", ""green pepper"", ""salt"", ""curry powder"", ""tomatoes"", ""raisins"", ""butter"", ""parsley"", ""celery""]",Chicken,Meat
Mild Chicken Curry,"[""chicken"", ""curry powder"", ""chicken broth"", ""onion"", ""tomatoes"", ""garlic"", ""salt"", ""pepper""]",Chicken,Meat
No-Fuss Curry Chicken,"[""roasting chicken"", ""Spanish onion"", ""apple"", ""tomatoes"", ""salt"", ""curry powder"", ""paprika""]",Chicken,Meat
Lamb Curry,"[""ground lamb"", ""celery"", ""onion"", ""clove garlic"", ""flour"", ""curry powder"", ""instant chicken"", ""pepper"", ""apple"", ""water"", ""milk"", ""raisins"", ""salt""]",Chicken,Meat
Chicken Curry Bombay,"[""onion"", ""garlic"", ""curry powder"", ""olive oil"", ""green beans"", ""tomatoes"", ""raisins"", ""whole new potatoes"", ""chicken breasts""]",Chicken,Meat
Curry Chicken On Rice,"[""boned chicken"", ""butter"", ""boiling water"", ""apples"", ""curry powder"", ""peanuts""]",Chicken,Meat
Shrimp Curry,"[""onions"", ""bacon"", ""green bell peppers"", ""curry powder"", ""lemon juice"", ""chicken broth"", ""potato"", ""shrimp"", ""lemon juice""]",Chicken,Meat
Chicken Curry,"[""frozen peas"", ""chicken breasts"", ""cream of chicken soup"", ""mayonnaise"", ""mushrooms"", ""curry powder"", ""Cheddar cheese"", ""croutons""]",Chicken,Meat
Chicken Curry,"[""chicken breasts"", ""margarine"", ""flour"", ""cayenne pepper"", ""onions"", ""garlic"", ""fresh ginger"", ""cumin"", ""coriander"", ""plain yogurt"", ""heavy cream""]",Chicken,Meat
Chicken Curry,"[""chicken"", ""broccoli"", ""cream of mushroom soup"", ""cream of chicken soup"", ""mayonnaise"", ""curry powder"", ""lemon juice"", ""bread crumbs"", ""Cheddar cheese""]",Chicken,Meat
Weight Watchers Chicken-Rice Curry,"[""chicken"", ""rice"", ""celery"", ""green pepper"", ""onion"", ""mayonnaise"", ""salt"", ""curry powder"", ""vinegar"", ""pimento"", ""pineapple""]",Chicken,Meat
Chicken Curry,"[""chicken breasts"", ""onion"", ""flour"", ""curry powder"", ""chicken broth"", ""milk"", ""salt"", ""sugar"", ""ground ginger"", ""lemon juice"", ""mushroom stems"", ""rice""]",Chicken,Meat
Chicken Curry,"[""chicken"", ""garlic"", ""ginger"", ""cumin"", ""natural yogurt"", ""oil"", ""turmeric"", ""chili powder"", ""pepper"", ""onions"", ""salt""]",Chicken,Meat
Chicken Curry,"[""chicken"", ""butter"", ""onion"", ""Accent"", ""salt"", ""ketchup"", ""boiling water"", ""cornstarch"", ""curry powder"", ""cold water""]",Chicken,Meat
Hurry Curry,"[""onion"", ""curry powder"", ""margarine"", ""condensed cream"", ""mayonnaise"", ""milk"", ""lemon juice"", ""chicken"", ""chicken""]",Chicken,Meat
Chicken Curry,"[""butter"", ""onions"", ""turmeric"", ""tomatoes"", ""chicken breasts""]",Chicken,Meat
Grandma'S Chicken Curry,"[""chicken"", ""peppercorns"", ""cloves"", ""garlic"", ""curry powder"", ""flour"", ""potatoes""]",Chicken,Meat
Chicken Curry,"[""onion"", ""celery"", ""white rice"", ""chicken meat"", ""milk"", ""cream of mushroom soup"", ""cream of chicken soup"", ""water"", ""curry powder""]",Chicken,Meat
Chicken Curry,"[""chicken"", ""salt"", ""black pepper"", ""oil"", ""onions"", ""cinnamon"", ""cardamom pods"", ""cloves"", ""turmeric"", ""chili powder"", ""ground coriander"", ""ginger"", ""garlic"", ""cumin"", ""bay leaves"", ""ketchup"", ""water""]",Chicken,Meat
African Curry,"[""margarine"", ""flour"", ""salt"", ""sugar"", ""onion salt"", ""curry powder"", ""ginger"", ""milk"", ""chicken stock"", ""condensed cream"", ""chicken""]",Chicken,Meat
Chicken Curry,"[""chicken"", ""thin sliced mushrooms"", ""oil"", ""onion"", ""flour"", ""chicken broth"", ""curry powder"", ""apple"", ""parsley"", ""milk"", ""water""]",Chicken,Meat
Jamaican Curry Chicken,"[""chicken"", ""curry"", ""thyme"", ""onions"", ""garlic"", ""allspice"", ""potatoes"", ""vegetable oil"", ""salt""]",Chicken,Meat
Pineapple Chicken Curry,"[""chicken breasts"", ""salt"", ""onion"", ""margarine"", ""green pepper"", ""cashews"", ""curry"", ""nutmeg"", ""pineapple"", ""water"", ""chicken"", ""cornstarch""]",Chicken,Meat
Chicken Curry,"[""onion"", ""water"", ""mayonnaise"", ""salt"", ""pineapple"", ""almonds"", ""white raisins"", ""butter"", ""curry powder"", ""lemon juice"", ""chicken"", ""cayenne"", ""apples""]",Chicken,Meat
Chicken Curry,"[""chicken"", ""onion"", ""curry powder"", ""ginger"", ""flour"", ""salt"", ""shortening"", ""lemon juice""]",Chicken,Meat
Curry Chicken,"[""cream of chicken soup"", ""curry powder"", ""onion"", ""milk"", ""chicken""]",Chicken,Meat
Chicken Curry,"[""onion"", ""butter"", ""curry powder"", ""green pepper"", ""garlic"", ""flour"", ""chicken broth"", ""milk"", ""chicken""]",Chicken,Meat
Curry-Cajun Spiced Chicken,"[""honey"", ""water"", ""mustard"", ""margarine"", ""Cajun seasoning"", ""curry powder"", ""lemon juice"", ""clove garlic"", ""skinless"", ""rice""]",Chicken,Meat
Wendy'S Chicken Curry,"[""onion"", ""oil"", ""curry powder"", ""ground red pepper"", ""tomato sauce"", ""chicken"", ""vinegar""]",Chicken,Meat
Chicken Curry,"[""chicken"", ""tomatoes"", ""onions"", ""butter"", ""tomato paste"", ""salt"", ""cayenne pepper"", ""green chilies"", ""turmeric"", ""ground ginger"", ""garlic"", ""lemon juice""]",Chicken,Meat
Chicken Curry,"[""bacon"", ""celery stalks"", ""onion"", ""clove garlic"", ""flour"", ""milk"", ""water"", ""applesauce"", ""ketchup"", ""curry powder"", ""chicken broth"", ""chicken"", ""rice""]",Chicken,Meat
Chicken Curry,"[""oil"", ""oleo"", ""onions"", ""green pepper"", ""garlic"", ""handful of celery leaves"", ""chili peppers"", ""cumin"", ""curry powder"", ""ginger"", ""cayenne"", ""thyme"", ""oregano"", ""tomato sauce""]",Chicken,Meat
Chicken Curry,"[""green onion"", ""green pepper"", ""celery"", ""oil"", ""flour"", ""chicken broth"", ""thyme"", ""parsley"", ""tomato juice"", ""Worcestershire sauce"", ""curry powder"", ""salt"", ""clove garlic"", ""chicken""]",Chicken,Meat
Chicken And Broccoli Curry(Serves 6 To 8)  ,"[""chicken"", ""broccoli"", ""cream of chicken"", ""mayonnaise"", ""curry powder"", ""lemon"", ""white wine"", ""Cheddar cheese""]",Chicken,Meat
Chicken Curry Surprises,"[""chicken"", ""apple"", ""green onion"", ""peanuts"", ""mayonnaise"", ""curry powder"", ""hot sauce"", ""coconut""]",Chicken,Meat
Curry Chicken,"[""chicken"", ""carrots"", ""potatoes"", ""onion"", ""curry powder"", ""garlic"", ""salt"", ""cornstarch""]",Chicken,Meat
Chicken Curry,"[""broilers"", ""butter"", ""curry powder"", ""salt"", ""mustard"", ""honey""]",Chicken,Meat
Chicken Curry,"[""chicken breasts"", ""cream of chicken soup"", ""chicken broth"", ""Cheddar cheese"", ""mayonnaise"", ""curry powder"", ""lemon juice"", ""broccoli"", ""herb dressing""]",Chicken,Meat
Chicken Curry,"[""chicken"", ""rice"", ""cream of chicken soup"", ""cream of mushroom soup"", ""some broth from chicken"", ""onion"", ""celery"", ""curry""]",Chicken,Meat
Chicken Curry(Makes 4 Servings)  ,"[""onion"", ""cooking apple"", ""curry powder"", ""margarine"", ""condensed cream"", ""light cream"", ""steak sauce"", ""chicken"", ""apples"", ""parsley sprigs""]",Chicken,Meat
Chicken Curry,"[""chicken"", ""tomatoes"", ""onions"", ""garlic"", ""ginger root"", ""curry powder"", ""salt"", ""olive""]",Chicken,Meat
Chicken Curry,"[""chicken breasts"", ""butter"", ""onions"", ""garlic"", ""curry powder"", ""tomato paste"", ""water"", ""green peppers"", ""cinnamon"", ""cloves"", ""cardamon"", ""salt"", ""butter"", ""rice"", ""chicken broth""]",Chicken,Meat
Quick Chicken Curry,"[""onion"", ""butter"", ""condensed cream"", ""milk"", ""sour cream"", ""curry powder"", ""chicken"", ""parsley""]",Chicken,Meat
Chicken Curry,"[""broccoli"", ""chicken"", ""cream of chicken soup"", ""milk"", ""Miracle"", ""lemon juice"", ""curry"", ""Cheddar cheese"", ""bread crumbs"", ""margarine""]",Chicken,Meat
Chicken Curry With Bamboo Shoots,"[""chicken breast"", ""chicken"", ""red curry"", ""shrimp paste"", ""snow peas"", ""red chilies"", ""fish sauce"", ""sugar"", ""coconut milk"", ""sweet basil"", ""makrut"", ""water"", ""bamboo shoots"", ""lemon grass""]",Chicken,Meat
Tomato-Curry Chicken,"[""flour"", ""salt"", ""pepper"", ""chicken breasts"", ""butter"", ""onion"", ""green pepper"", ""curry"", ""clove garlic"", ""thyme"", ""tomatoes""]",Chicken,Meat
Mohines Chicken Curry(Chicken Curry Bombay)  ,"[""chicken"", ""onion"", ""butter"", ""plain yogurt"", ""tomato sauce"", ""ground cumin"", ""ground coriander"", ""cayenne pepper"", ""ground cinnamon"", ""ginger"", ""garlic"", ""ground turmeric""]",Chicken,Meat
Bao Zier'S Thai Red Curry,"[""coconut milk"", ""curry"", ""chicken"", ""fish sauce"", ""sugar"", ""bamboo shoots"", ""fresh Thai basil"", ""chili peppers""]",Chicken,Meat
Skillet Chicken-Rice Curry,"[""chicken breasts"", ""mushroom soup"", ""rice"", ""onion"", ""curry powder"", ""parsley"", ""celery"", ""salt""]",Chicken,Meat
Indian Chicken Curry,"[""chicken"", ""onion"", ""tomatoes"", ""ginger"", ""garlic"", ""curry powder"", ""cinnamon"", ""cloves"", ""red chili powder"", ""salt"", ""oil""]",Chicken,Meat
Chicken Curry,"[""chicken breasts"", ""broccoli spears"", ""cream of chicken soup"", ""mayonnaise"", ""curry powder"", ""lemon juice"", ""grated cheese""]",Chicken,Meat
Hurry Curry,"[""white rice"", ""curry powder"", ""onion"", ""butter"", ""condensed cream soup"", ""sour cream"", ""chicken""]",Chicken,Meat
Curry Chicken,"[""chicken"", ""black pepper"", ""salt"", ""salt"", ""curry powder"", ""thyme"", ""onion""]",Chicken,Meat
African Chicken Curry And Rice,"[""onion"", ""celery"", ""chicken"", ""chicken broth"", ""tomato juice"", ""Worcestershire sauce"", ""salt"", ""curry powder"", ""chicken"", ""hot cooked rice"", ""lettuce"", ""carrots"", ""celery"", ""onions"", ""banana"", ""peanut nuts"", ""pineapple"", ""raisins"", ""coconut"", ""oranges""]",Chicken,Meat
Chicken Curry,"[""chicken"", ""olive oil"", ""margarine"", ""garlic"", ""onion"", ""green pepper"", ""curry powder"", ""thyme"", ""salt"", ""tomato halves""]",Chicken,Meat
Fijian-Indian Chicken Or Lamb Curry,"[""potatoes"", ""onion"", ""black mustard"", ""garlic"", ""ginger"", ""powdered coriander"", ""garam marsala"", ""turmeric"", ""chili powder"", ""salt"", ""tomato paste"", ""coriander""]",Chicken,Meat
Chicken Curry,"[""onion"", ""celery"", ""margarine"", ""flour"", ""salt"", ""curry powder"", ""milk"", ""chicken broth"", ""chicken"", ""apple""]",Chicken,Meat
Chicken Curry,"[""chicken"", ""onions"", ""garlic"", ""fresh ginger"", ""curry powder"", ""green pepper"", ""teriyaki sauce"", ""peanut oil"", ""water"", ""chicken""]",Chicken,Meat
Murgha Kari(Chicken Curry With Tomatoes)  ,"[""onions"", ""curry powder"", ""butter"", ""tomato sauce"", ""salt"", ""chicken"", ""hot water""]",Chicken,Meat
Chicken Curry,"[""chicken breasts"", ""Miracle"", ""dressing"", ""curry powder"", ""mandarin oranges"", ""white Tokay grapes""]",Chicken,Meat
Quick Turkey Curry,"[""onion"", ""butter"", ""condensed cream"", ""milk"", ""sour cream"", ""curry powder"", ""chicken"", ""parsley"", ""rice""]",Chicken,Meat
Chicken Curry,"[""Bermuda"", ""flour"", ""tomato juice"", ""curry powder"", ""salt"", ""oil"", ""celery"", ""chicken broth"", ""Worcestershire sauce"", ""chicken""]",Chicken,Meat
Shrimp Curry With Rice,"[""onion"", ""clove garlic"", ""ginger"", ""butter"", ""curry powder"", ""flour"", ""salt"", ""pepper"", ""chicken broth"", ""shrimp""]",Chicken,Meat
Curry Chicken,"[""margarine"", ""chicken"", ""curry"", ""salt"", ""pepper"", ""tomato sauce""]",Chicken,Meat
Rose'S Curry Chicken,"[""chicken"", ""onion"", ""margarine"", ""mushrooms"", ""tomato soup"", ""beer"", ""curry powder"", ""oregano"", ""pepper"", ""garlic"", ""Cheddar cheese""]",Chicken,Meat
Chicken Curry,"[""chicken"", ""onion"", ""apple"", ""garlic"", ""curry powder"", ""ginger"", ""salt"", ""chicken stock""]",Chicken,Meat
Chicken Curry - In A Hurry,"[""chicken"", ""flour"", ""curry powder"", ""parsley"", ""water"", ""mushrooms"", ""onion"", ""chicken broth"", ""apple"", ""milk""]",Chicken,Meat
Dahi Murgh (An Indian Dish)(Chicken And Yogurt Curry)  ,"[""chicken"", ""onion"", ""garlic"", ""fresh ginger"", ""fresh coriander"", ""oil"", ""turmeric"", ""garam masala"", ""salt"", ""chili powder"", ""yogurt"", ""tomatoes"", ""mint""]",Chicken,Meat
Chicken Curry,"[""boneless chicken"", ""butter"", ""honey"", ""mustard"", ""salt"", ""pepper"", ""curry""]",Chicken,Meat
Chicken Curry,"[""chicken"", ""onions"", ""oil"", ""curry powder"", ""salt"", ""coriander"", ""cumin"", ""turmeric"", ""green chilies"", ""ginger root"", ""garlic"", ""water""]",Chicken,Meat
"Chicken Curry, Southern","[""flour"", ""salad oil"", ""garlic"", ""onions"", ""celery"", ""green pepper"", ""salt"", ""tomatoes"", ""regular long grain rice"", ""raisins"", ""butter"", ""almonds"", ""parsley"", ""curry powder""]",Chicken,Meat
Apri-Curry Chicken,"[""curry powder"", ""yogurt"", ""apricot"", ""mustard"", ""coconut"", ""chicken""]",Chicken,Meat
"Jamaican ""Curry Goat""","[""veal stew meat"", ""flour"", ""oil"", ""onion"", ""garlic"", ""curry powder"", ""cumin"", ""red pepper"", ""bouillon"", ""chicken broth"", ""lime"", ""salt"", ""scallions""]",Chicken,Meat
Chicken-Amaretto Curry,"[""boneless chicken"", ""margarine"", ""lemon juice"", ""lemon rind"", ""mushrooms"", ""chicken broth"", ""flour"", ""cornstarch"", ""curry powder"", ""white pepper"", ""salt""]",Chicken,Meat
Banana Shrimp Curry,"[""onion"", ""butter"", ""curry powder"", ""milk"", ""chicken bouillon"", ""hot water"", ""salt"", ""bananas"", ""shrimp"", ""rice""]",Chicken,Meat
Shrimp Curry,"[""frozen"", ""cream of chicken soup"", ""applesauce"", ""onion"", ""curry powder"", ""salt"", ""pepper""]",Chicken,Meat
Chicken Curry,"[""chicken"", ""cream of mushroom soup"", ""lemon juice"", ""curry powder"", ""mayonnaise"", ""broccoli""]",Chicken,Meat
Chicken Curry,"[""curry powder"", ""butter"", ""onion"", ""stalks celery"", ""mushrooms"", ""apple"", ""beef broth"", ""lite cream"", ""milk"", ""cornstarch"", ""cold water"", ""chicken""]",Chicken,Meat
Chicken Curry And Green Rice,"[""butter"", ""onion"", ""curry powder"", ""flour"", ""salt"", ""sugar"", ""ground ginger"", ""chicken broth"", ""milk"", ""chicken"", ""lemon juice""]",Chicken,Meat
Green Chicken Curry,"[""vegetable oil"", ""onion"", ""green curry"", ""coconut milk"", ""water"", ""chicken thigh"", ""fresh green beans"", ""lime"", ""fish sauce"", ""lime juice"", ""lime rind"", ""brown sugar"", ""fresh cilantro""]",Chicken,Meat
Chicken Curry,"[""butter"", ""apple"", ""celery"", ""onion"", ""clove garlic"", ""cornstarch"", ""curry powder"", ""salt"", ""cold chicken broth"", ""milk"", ""chicken"", ""mushrooms"", ""curry condiments""]",Chicken,Meat
Mary'S Chicken Curry,"[""bacon"", ""celery"", ""onion"", ""clove garlic"", ""flour"", ""milk"", ""water"", ""applesauce"", ""tomato paste"", ""curry powder"", ""chicken bouillon cubes"", ""chicken""]",Chicken,Meat
Turkey Curry,"[""onion"", ""celery"", ""oil"", ""cornstarch"", ""chicken"", ""tomato juice"", ""Worcestershire sauce"", ""curry"", ""pepper"", ""turkey""]",Chicken,Meat
Chicken Potato Curry,"[""potato"", ""eggs"", ""chicken breast"", ""flour"", ""butter"", ""milk"", ""salt"", ""curry powder""]",Chicken,Meat
Chicken Curry With Almond-Raisin Rice,"[""apples"", ""clove garlic"", ""flour"", ""salt"", ""chicken broth"", ""onions"", ""butter"", ""curry powder"", ""ginger"", ""chicken""]",Chicken,Meat
Chicken Curry,"[""vegetable oil"", ""chicken breast halves"", ""salt"", ""onion"", ""garlic"", ""black"", ""curry powder"", ""ground ginger"", ""ground cumin"", ""chicken broth""]",Chicken,Meat
Chicken Curry,"[""fowl"", ""water"", ""salt"", ""onions"", ""butter"", ""apples"", ""raisins"", ""flour"", ""curry powder"", ""pepper"", ""cinnamon"", ""cream""]",Chicken,Meat
Chicken With Yogurt Curry(Microwave)  ,"[""onion"", ""ginger root"", ""cumin"", ""generous pinches salt"", ""chicken breasts"", ""nonfat yogurt"", ""almonds""]",Chicken,Meat
Hawaiian Curry,"[""chicken"", ""onion"", ""butter"", ""flour"", ""curry powder"", ""salt"", ""rice"", ""milk""]",Chicken,Meat
